country,state,name,lat,lng,timezone,altitude
AD,,les Escaldes,42.50729,1.53414,Europe/Andorra,1033
AD,,Andorra la Vella,42.50779,1.52109,Europe/Andorra,1037
AE,,Warīsān,25.16744,55.40708,Asia/Dubai,12
AE,,Umm Suqaym,25.15491,55.21015,Asia/Dubai,1
AE,,Umm Al Quwain City,25.56473,55.55517,Asia/Dubai,2
AE,,Ar Rāshidīyah,25.22499,55.38947,Asia/Dubai,10
AE,,Ras Al Khaimah City,25.78953,55.9432,Asia/Dubai,2
AE,,Zayed City,23.65416,53.70522,Asia/Dubai,118
AE,,Khawr Fakkān,25.33132,56.34199,Asia/Dubai,20
AE,,Kalbā,25.0513,56.35422,Asia/Dubai,15
AE,,Jumayrā,25.20795,55.24969,Asia/Dubai,5
AE,,Dubai,25.07725,55.30927,Asia/Dubai,24
AE,,Dibba Al-Fujairah,25.59246,56.26176,Asia/Dubai,16
AE,,Dibba Al-Hisn,25.61955,56.27291,Asia/Dubai,4
AE,,Dayrah,25.27143,55.30207,Asia/Dubai,10
AE,,Sharjah,25.33737,55.41206,Asia/Dubai,6
AE,,Ar Ruways,24.11028,52.73056,Asia/Dubai,16
AE,,Ḩattā,24.80073,56.12726,Asia/Dubai,331
AE,,Al Fujairah City,25.11641,56.34141,Asia/Dubai,15
AE,,Al Ain City,24.19167,55.76056,Asia/Dubai,275
AE,,Ajman City,25.40177,55.47878,Asia/Dubai,2
AE,,Adh Dhayd,25.28812,55.88157,Asia/Dubai,114
AE,,Abu Dhabi,24.45118,54.39696,Asia/Dubai,6
AE,,Abū Hayl,25.28413,55.33153,Asia/Dubai,3
AE,,As Saţwah,25.22192,55.27459,Asia/Dubai,9
AE,,Al Ḩamīdīyah,25.40001,55.52925,Asia/Dubai,15
AE,,Al Waheda,25.29173,55.33822,Asia/Dubai,-1
AE,,Al Karama,25.24004,55.30106,Asia/Dubai,4
AE,,The Palm Jumeirah,25.11607,55.13506,Asia/Dubai,-9999
AE,,Bur Dubai,25.26038,55.29891,Asia/Dubai,11
AE,,Khalifah A City,24.42588,54.605,Asia/Dubai,0
AE,,Mirdif,25.22443,55.41412,Asia/Dubai,24
AE,,Hawr al ‘Anz,25.27744,55.33675,Asia/Dubai,5
AE,,Mankhūl,25.24612,55.29222,Asia/Dubai,0
AE,,Nāyf,25.27139,55.30323,Asia/Dubai,9
AE,,Al Murar al Qadīm,25.27576,55.30738,Asia/Dubai,8
AE,,Al Warqaa,25.19272,55.42013,Asia/Dubai,29
AE,,International City,25.16383,55.40987,Asia/Dubai,15
AE,,Dubai Marina,25.08525,55.14646,Asia/Dubai,-9
AE,,Dubai Internet City,25.09538,55.16171,Asia/Dubai,-9
AE,,Al Safa,25.17047,55.23336,Asia/Dubai,0
AE,,Ar Rumaylah,25.40338,55.4334,Asia/Dubai,2
AE,,Al Jurf,25.41814,55.50791,Asia/Dubai,6
AE,,Al Majaz,25.32354,55.38774,Asia/Dubai,10
AE,,Dubai Festival City,25.22177,55.35733,Asia/Dubai,4
AE,,Dubai International Financial Centre,25.2106,55.27787,Asia/Dubai,7
AE,,Dubai Investments Park,25.00827,55.15682,Asia/Dubai,5
AE,,Jebel Ali,25.00255,55.10811,Asia/Dubai,5
AE,,Bani Yas City,24.30978,54.62944,Asia/Dubai,14
AE,,Musaffah,24.35893,54.48267,Asia/Dubai,7
AE,,Al Shamkhah City,24.39268,54.70779,Asia/Dubai,34
AE,,Reef Al Fujairah City,25.14479,56.24764,Asia/Dubai,129
AE,,Al Bada'a,25.22462,55.26888,Asia/Dubai,11
AE,,Al Muteena,25.27375,55.32265,Asia/Dubai,20
AE,,Al Mizhar First,25.24805,55.44128,Asia/Dubai,24
AE,,Dubai Silicon Oasis,25.11985,55.38718,Asia/Dubai,11
AE,,Al Furjan,25.02651,55.14565,Asia/Dubai,16
AE,,Business Bay,25.18544,55.26969,Asia/Dubai,16
AE,,Al Qusais 1,25.27925,55.36995,Asia/Dubai,11
AE,,Halwan,25.34586,55.42165,Asia/Dubai,16
AE,,Al Sajaah,25.31532,55.63211,Asia/Dubai,67
AE,,Lahbab,25.03763,55.59135,Asia/Dubai,125
AE,,Mohammed Bin Zayed City,24.34794,54.55368,Asia/Dubai,3
AF,,Zaranj,30.95962,61.86037,Asia/Kabul,489
AF,,Bāzār-e Yakāwlang,34.73525,66.97379,Asia/Kabul,2585
AF,,Taloqan,36.73605,69.53451,Asia/Kabul,801
AF,,Shīnḏanḏ,33.30294,62.1474,Asia/Kabul,1071
AF,,Shibirghān,36.66757,65.7529,Asia/Kabul,360
AF,,Shahrak,34.10737,64.3052,Asia/Kabul,2357
AF,,Sar-e Pul,36.21544,65.93249,Asia/Kabul,636
AF,,Sang-e Chārak,35.84972,66.43694,Asia/Kabul,1483
AF,,Aībak,36.26468,68.01551,Asia/Kabul,969
AF,,Rustāq,37.12604,69.83045,Asia/Kabul,1314
AF,,Qarqīn,37.41853,66.04358,Asia/Kabul,263
AF,,Qarāwul,37.21959,68.7802,Asia/Kabul,337
