"timezone","offset","offset_dst"
"Africa/Abidjan","0","0"
"Africa/Accra","0","0"
"Africa/Addis_Ababa","10800","10800"
"Africa/Algiers","3600","3600"
"Africa/Asmara","10800","10800"
"Africa/Asmera","10800","10800"
"Africa/Bamako","0","0"
"Africa/Bangui","3600","3600"
"Africa/Banjul","0","0"
"Africa/Bissau","0","0"
"Africa/Blantyre","7200","7200"
"Africa/Brazzaville","3600","3600"
"Africa/Bujumbura","7200","7200"
"Africa/Cairo","7200","7200"
"Africa/Casablanca","0","3600"
"Africa/Ceuta","3600","7200"
"Africa/Conakry","0","0"
"Africa/Dakar","0","0"
"Africa/Dar_es_Salaam","10800","10800"
"Africa/Djibouti","10800","10800"
"Africa/Douala","3600","3600"
"Africa/El_Aaiun","0","3600"
"Africa/Freetown","0","0"
"Africa/Gaborone","7200","7200"
"Africa/Harare","7200","7200"
"Africa/Johannesburg","7200","7200"
"Africa/Juba","10800","10800"
"Africa/Kampala","10800","10800"
"Africa/Khartoum","10800","10800"
"Africa/Kigali","7200","7200"
"Africa/Kinshasa","3600","3600"
"Africa/Lagos","3600","3600"
"Africa/Libreville","3600","3600"
"Africa/Lome","0","0"
"Africa/Luanda","3600","3600"
"Africa/Lubumbashi","7200","7200"
"Africa/Lusaka","7200","7200"
"Africa/Malabo","3600","3600"
"Africa/Maputo","7200","7200"
"Africa/Maseru","7200","7200"
"Africa/Mbabane","7200","7200"
"Africa/Mogadishu","10800","10800"
"Africa/Monrovia","0","0"
"Africa/Nairobi","10800","10800"
"Africa/Ndjamena","3600","3600"
"Africa/Niamey","3600","3600"
"Africa/Nouakchott","0","0"
"Africa/Ouagadougou","0","0"
"Africa/Porto-Novo","3600","3600"
"Africa/Sao_Tome","0","0"
"Africa/Timbuktu","0","0"
"Africa/Tripoli","7200","7200"
"Africa/Tunis","3600","3600"
"Africa/Windhoek","3600","7200"
"America/Adak","-36000","-32400"
"America/Anchorage","-32400","-28800"
"America/Anguilla","-14400","-14400"
"America/Antigua","-14400","-14400"
"America/Araguaina","-10800","-10800"
"America/Argentina/Buenos_Aires","-10800","-10800"
"America/Argentina/Catamarca","-10800","-10800"
"America/Argentina/ComodRivadavia","-10800","-10800"
"America/Argentina/Cordoba","-10800","-10800"
"America/Argentina/Jujuy","-10800","-10800"
"America/Argentina/La_Rioja","-10800","-10800"
"America/Argentina/Mendoza","-10800","-10800"
"America/Argentina/Rio_Gallegos","-10800","-10800"
"America/Argentina/Salta","-10800","-10800"
"America/Argentina/San_Juan","-10800","-10800"
"America/Argentina/San_Luis","-10800","-10800"
"America/Argentina/Tucuman","-10800","-10800"
"America/Argentina/Ushuaia","-10800","-10800"
"America/Aruba","-14400","-14400"
"America/Asuncion","-10800","-10800"
"America/Atikokan","-18000","-18000"
"America/Atka","-36000","-32400"
"America/Bahia","-10800","-10800"
"America/Bahia_Banderas","-21600","-18000"
"America/Barbados","-14400","-14400"
"America/Belem","-10800","-10800"
"America/Belize","-21600","-21600"
"America/Blanc-Sablon","-14400","-14400"
"America/Boa_Vista","-14400","-14400"
"America/Bogota","-18000","-18000"
"America/Boise","-25200","-21600"
"America/Buenos_Aires","-10800","-10800"
"America/Cambridge_Bay","-25200","-21600"
"America/Campo_Grande","-14400","-10800"
"America/Cancun","-18000","-18000"
"America/Caracas","-16200","-16200"
"America/Catamarca","-10800","-10800"
"America/Cayenne","-10800","-10800"
"America/Cayman","-18000","-18000"
"America/Chicago","-21600","-18000"
"America/Chihuahua","-25200","-21600"
"America/Coral_Harbour","-18000","-18000"
"America/Cordoba","-10800","-10800"
"America/Costa_Rica","-21600","-21600"
"America/Creston","-25200","-25200"
"America/Cuiaba","-14400","-10800"
"America/Curacao","-14400","-14400"
"America/Danmarkshavn","0","0"
"America/Dawson","-28800","-25200"
"America/Dawson_Creek","-25200","-25200"
"America/Denver","-25200","-21600"
"America/Detroit","-18000","-14400"
"America/Dominica","-14400","-14400"
"America/Edmonton","-25200","-21600"
"America/Eirunepe","-18000","-18000"
"America/El_Salvador","-21600","-21600"
"America/Ensenada","-28800","-25200"
"America/Fort_Nelson","-25200","-25200"
"America/Fort_Wayne","-18000","-14400"
"America/Fortaleza","-10800","-10800"
"America/Glace_Bay","-14400","-10800"
"America/Godthab","-10800","-7200"
"America/Goose_Bay","-14400","-10800"
"America/Grand_Turk","-14400","-14400"
"America/Grenada","-14400","-14400"
"America/Guadeloupe","-14400","-14400"
"America/Guatemala","-21600","-21600"
"America/Guayaquil","-18000","-18000"
"America/Guyana","-14400","-14400"
"America/Halifax","-14400","-10800"
"America/Havana","-18000","-14400"
"America/Hermosillo","-25200","-25200"
"America/Indiana/Indianapolis","-18000","-14400"
"America/Indiana/Knox","-21600","-18000"
"America/Indiana/Marengo","-18000","-14400"
"America/Indiana/Petersburg","-18000","-14400"
"America/Indiana/Tell_City","-21600","-18000"
"America/Indiana/Vevay","-18000","-14400"
"America/Indiana/Vincennes","-18000","-14400"
"America/Indiana/Winamac","-18000","-14400"
"America/Indianapolis","-18000","-14400"
"America/Inuvik","-25200","-21600"
"America/Iqaluit","-18000","-14400"
"America/Jamaica","-18000","-18000"
